STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT07,WT08
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",1/1/2019,4.3,,0,0,0,,12.8,5.6,30,350,9.8,15.7,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",1/2/2019,3.6,,0,0,0,,17.2,3.9,20,10,8.1,13.4,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",1/3/2019,1.7,,0,0,0,,20.6,2.8,40,30,4.5,5.8,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",1/4/2019,1.8,,0,0,0,,20.6,1.7,280,270,4,5.8,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",1/5/2019,1.2,,4.8,,0,,13.3,6.1,90,90,4.5,5.4,1,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",1/6/2019,1.4,,0.5,,0,,14.4,8.3,260,280,6.3,7.6,1,,,,1
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",1/7/2019,0.5,,0,0,0,,16.1,8.9,120,140,5.4,7.2,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",1/8/2019,1.8,,0,0,0,,22.8,8.3,250,40,4.5,6.3,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",1/9/2019,1.7,,0,0,0,,20.6,6.1,270,270,7.2,9.4,1,,,,1
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",1/10/2019,1,,0,0,0,,19.4,6.1,270,270,4.5,7.6,1,,,,1
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",1/11/2019,1.1,,0,0,0,,20.6,6.1,280,270,4,4.9,1,1,,,1
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",1/12/2019,1.6,,9.7,,0,,13.9,7.8,260,270,7.6,9.8,1,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",1/13/2019,1.6,,0,0,0,,17.8,3.3,80,90,5.4,6.7,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",1/14/2019,1.6,,8.9,,0,,13.3,8.3,120,120,5.8,8.5,1,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",1/15/2019,2,,13.5,,0,,14.4,8.9,130,130,9.4,11.2,1,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",1/16/2019,1.2,,11.9,0,0,,16.7,11.1,170,140,5.4,6.7,1,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",1/17/2019,2.1,,14.2,0,0,,16.7,11.7,250,270,8.9,10.7,1,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",1/18/2019,1,,0,0,0,,17.2,10,40,100,3.6,4.9,1,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",1/19/2019,2.6,,0,0,0,,25.6,7.8,20,60,4.5,7.2,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",1/20/2019,1.6,,0,0,0,,22.8,7.8,270,280,5.4,6.7,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",1/21/2019,3.5,,0,,0,,16.1,6.7,260,260,9.4,11.6,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",1/22/2019,5.5,,0,0,0,,17.8,8.3,350,350,11.2,17,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",1/23/2019,1.3,,0,0,0,,20.6,5,50,50,4.5,7.6,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",1/24/2019,3.9,,0,0,0,,23.3,5.6,20,30,7.6,11.6,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",1/25/2019,3.8,,0,0,0,,24.4,6.1,30,10,8.1,12.5,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",1/26/2019,4.7,,0,0,0,,25.6,13.9,360,360,8.9,15.2,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",1/27/2019,2.1,,0,0,0,,25,7.8,270,270,5.4,6.3,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",1/28/2019,1.2,,0,0,0,,23.3,6.7,270,270,4,5.4,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",1/29/2019,1.3,,0,0,0,,21.7,11.1,280,270,5.4,5.8,,,,,1
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",1/30/2019,1.3,,0,0,0,,19.4,11.1,270,280,6.7,8.1,1,,,,1
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",1/31/2019,1.7,,8.6,,0,,15.6,7.8,270,270,9.4,11.6,1,,1,,1
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2/1/2019,1.7,,0.5,,0,,16.7,5,270,270,5.8,6.3,1,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2/2/2019,3,,23.6,,0,,14.4,8.9,270,170,10.3,14.8,1,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2/3/2019,1.5,,5.8,,0,,13.3,7.2,270,270,5.4,6.7,1,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2/4/2019,2.3,,12.4,,0,,13.3,8.3,250,270,8.1,10.3,1,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2/5/2019,3.4,,5.3,,0,,11.7,5.6,250,240,8.1,10.7,1,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2/6/2019,1.7,,0,0,0,,12.8,0.6,250,220,6.3,7.6,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2/7/2019,2.4,,0,0,0,,16.1,0.6,110,110,6.7,8.5,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2/8/2019,1.7,,0,0,0,,16.1,1.1,270,270,5.8,7.2,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2/9/2019,1.9,,3.6,,0,,13.9,5,270,250,5.8,7.6,1,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2/10/2019,2.4,,3,,0,,12.2,4.4,240,250,9.8,12.1,1,,,,1
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2/11/2019,1.3,,0,0,0,,16.1,0.6,160,160,4,5.4,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2/12/2019,1.4,,0,0,0,,18.9,1.7,110,120,4,4.9,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2/13/2019,2,,1.5,,0,,15,8.3,180,180,4.5,6.3,1,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2/14/2019,3.1,,68.1,,0,,15.6,8.9,260,250,14.3,18.8,1,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2/15/2019,2.6,,2.3,,0,,15,8.3,250,250,7.2,8.9,1,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2/16/2019,2.8,,0,0,0,,14.4,6.1,240,250,7.6,9.8,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2/17/2019,2.7,,0.5,,0,,12.2,3.3,250,250,10.3,13.9,1,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2/18/2019,1.5,,0,0,0,,14.4,1.1,30,40,6.7,9.4,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2/19/2019,2.5,,0,,0,,13.9,1.7,60,30,6.7,10.3,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2/20/2019,1.1,,1.3,,0,,11.1,1.7,280,300,4,4.9,1,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2/21/2019,2.2,,8.9,,0,,12.8,2.2,30,30,7.6,11.2,1,,1,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2/22/2019,2.9,,0,0,0,,14.4,0.6,40,80,8.9,13.4,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2/23/2019,1.8,,0,0,0,,16.1,1.1,260,270,6.3,7.2,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2/24/2019,1.6,,0,0,0,,18.9,3.3,260,280,5.4,6.7,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2/25/2019,1.7,,0,0,0,,19.4,6.1,270,240,5.8,6.7,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2/26/2019,2.1,,0,0,0,,19.4,5.6,270,280,4.5,6.7,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2/27/2019,1.3,,0,,0,,17.8,7.8,270,260,5.4,6.3,1,,,,1
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",2/28/2019,1.8,,0,0,0,,20,11.7,270,270,7.2,9.4,1,,,,1
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",3/1/2019,1.6,,0,0,0,,18.3,12.2,270,270,5.4,6.3,1,,,,1
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",3/2/2019,2,,16,0,0,,17.2,12.2,250,240,6.3,8.5,1,,,,1
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",3/3/2019,2.4,,0,0,0,,17.2,10.6,280,270,7.2,8.5,1,,,,1
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",3/4/2019,1.3,,0,0,0,,17.2,8.3,270,270,5.8,7.2,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",3/5/2019,2.5,,0,,0,,20.6,5.6,250,250,7.6,9.8,1,,1,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",3/6/2019,1.6,,17.5,0,0,,16.7,10.6,130,140,6.7,8.5,1,,1,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",3/7/2019,3.1,,0.5,,0,,16.1,8.9,260,260,8.9,11.2,1,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",3/8/2019,3.7,,1,,0,,15,6.7,250,240,9.4,12.1,1,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",3/9/2019,2.2,,0,0,0,,15.6,5.6,270,270,7.6,8.9,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",3/10/2019,1.7,,0,0,0,,15.6,6.1,270,270,5.8,6.7,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",3/11/2019,3.1,,0.3,,0,,17.8,3.9,10,30,7.6,13.9,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",3/12/2019,2.9,,1,,0,,19.4,9.4,250,250,8.1,11.6,1,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",3/13/2019,2.1,,0,,0,,18.3,7.8,270,270,7.2,8.9,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",3/14/2019,5.1,,0,0,0,,19.4,10,30,40,9.8,15.7,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",3/15/2019,3.2,,0,0,0,,22.8,5,10,360,8.1,14.3,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",3/16/2019,2.3,,0,0,0,,26.1,8.3,360,360,7.6,11.2,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",3/17/2019,1.9,,0,0,0,,28.3,7.8,280,100,6.3,7.6,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",3/18/2019,2,,0,0,0,,27.8,9.4,270,270,8.1,10.3,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",3/19/2019,2.2,,0,0,0,,22.8,10.6,270,260,8.9,10.7,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",3/20/2019,1.2,,0,,0,,18.3,9.4,270,270,7.2,8.1,1,,1,,1
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",3/21/2019,1.8,,0,,0,,15,7.2,270,270,5.8,6.7,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",3/22/2019,1.6,,0,0,0,,18.3,8.3,280,270,6.3,8.1,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",3/23/2019,1.7,,0,0,0,,18.9,7.8,270,270,6.7,8.5,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",3/24/2019,1.2,,0,0,0,,21.7,8.9,270,280,5.4,6.3,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",3/25/2019,1.9,,0,0,0,,26.1,7.8,270,270,7.6,9.4,1,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",3/26/2019,1.5,,0,0,0,,23.9,8.9,280,280,6.7,7.6,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",3/27/2019,2.1,,0,0,0,,21.1,9.4,270,250,7.2,9.4,1,,,,1
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",3/28/2019,2,,0,0,0,,21.1,10.6,270,270,8.1,9.8,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",3/29/2019,2.2,,0,0,0,,22.2,7.2,270,280,6.3,8.5,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",3/30/2019,2.1,,0,0,0,,27.8,7.8,270,280,7.6,9.4,,,,,1
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",3/31/2019,2.2,,0,0,0,,28.9,10.6,30,40,6.3,9.4,,,,,1
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",4/1/2019,2.2,,0,0,0,,28.3,11.7,270,250,8.1,10.3,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",4/2/2019,2.8,,0,0,0,,22.8,9.4,280,280,9.4,13,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",4/3/2019,2.3,,0.3,0,0,,20.6,12.2,280,270,6.7,8.9,1,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",4/4/2019,2.5,,0,0,0,,20.6,10,270,280,8.1,9.8,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",4/5/2019,2.9,,0,0,0,,19.4,11.1,260,250,8.1,10.7,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",4/6/2019,1.6,,0,0,0,,22.2,11.1,280,270,7.2,9.4,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",4/7/2019,1.6,,0,0,0,,29.4,10.6,270,270,5.8,6.7,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",4/8/2019,2.2,,0,0,0,,32.2,13.9,270,260,7.2,9.4,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",4/9/2019,3.3,,0,0,0,,26.7,13.3,230,280,9.8,13,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",4/10/2019,2.6,,0,0,0,,25,8.3,260,270,8.9,10.3,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",4/11/2019,2.1,,0,0,0,,23.3,8.3,270,270,7.6,10.7,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",4/12/2019,3,,0,0,0,,24.4,8.9,250,270,9.4,12.1,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",4/13/2019,2.6,,0,0,0,,27.8,9.4,250,260,9.4,11.6,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",4/14/2019,2.6,,0,0,0,,25.6,10.6,260,270,8.1,10.7,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",4/15/2019,2.7,,0,0,0,,23.9,9.4,280,270,8.9,11.2,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",4/16/2019,1.8,,0,0,0,,18.9,11.1,280,280,7.6,10.3,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",4/17/2019,2.2,,0,0,0,,27.8,9.4,250,260,9.8,11.6,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",4/18/2019,2.6,,0,0,0,,32.2,10.6,280,280,8.1,11.2,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",4/19/2019,2.9,,0,0,0,,30,12.2,270,270,10.3,13,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",4/20/2019,2.6,,0,0,0,,20,12.2,280,270,7.6,9.8,1,,,,1
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",4/21/2019,2.4,,0,0,0,,22.2,11.7,250,240,8.1,10.7,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",4/22/2019,2.5,,0,0,0,,26.1,8.9,270,270,9.4,11.2,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",4/23/2019,2.6,,0,0,0,,32.2,11.7,280,280,10.3,13.4,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",4/24/2019,1.9,,0,0,0,,30,13.3,280,270,7.2,9.8,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",4/25/2019,2.2,,0,0,0,,31.1,12.2,270,270,8.1,10.7,1,,,,1
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",4/26/2019,2.9,,0,0,0,,27.8,11.7,270,270,8.1,10.3,1,1,,,1
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",4/27/2019,2.3,,0,0,0,,23.9,12.8,280,280,6.7,8.1,1,,,,1
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",4/28/2019,2.4,,0,0,0,,25.6,13.9,270,270,9.8,13,1,,,,1
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",4/29/2019,2.9,,0.3,0,0,,19.4,12.2,280,270,8.1,9.8,1,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",4/30/2019,3.4,,0,0,0,,20.6,12.8,270,230,7.2,9.8,,,,,1
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",5/1/2019,2.3,,0,0,0,,23.9,11.1,270,280,7.2,9.8,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",5/2/2019,2,,0,0,0,,25.6,10.6,270,280,7.2,9.4,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",5/3/2019,2.3,,0,0,0,,26.7,11.1,260,270,7.6,9.8,1,,,,1
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",5/4/2019,2.3,,0,0,0,,27.2,10.6,270,270,7.6,9.8,1,1,,,1
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",5/5/2019,3.3,,0,0,0,,25,12.2,270,270,10.7,13,,,,,1
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",5/6/2019,3.2,,0,0,0,,22.2,12.8,250,270,8.9,10.7,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",5/7/2019,2.7,,0,0,0,,19.4,12.8,270,280,6.3,8.1,1,,,,1
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",5/8/2019,2.8,,0,0,0,,19.4,13.3,270,270,6.3,7.6,,,,,1
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",5/9/2019,2.6,,0,0,0,,18.9,13.3,280,270,5.8,6.7,1,,,,1
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",5/10/2019,1,,0,0,0,,18.9,12.8,280,280,6.3,7.6,1,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",5/11/2019,1.8,,0,0,0,,26.1,12.2,260,270,8.1,11.2,1,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",5/12/2019,2.3,,0,0,0,,27.2,12.2,270,270,8.9,12.5,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",5/13/2019,2.1,,0,0,0,,25,13.9,270,280,6.7,8.9,1,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",5/14/2019,2.1,,0,0,0,,28.9,15,270,280,8.1,9.8,1,,,,1
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",5/15/2019,3.6,,0,0,0,,23.3,13.9,270,270,9.8,13.4,1,,,,1
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",5/16/2019,3.1,,0.3,0,0,,20.6,12.2,250,250,10.7,13.9,1,,,,1
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",5/17/2019,2.3,,0,0,0,,22.2,10,270,270,7.6,10.3,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",5/18/2019,2.7,,0,,0,,23.9,9.4,270,270,8.9,10.7,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",5/19/2019,3.7,,0.3,0,0,,20,10,240,270,9.8,12.5,1,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",5/20/2019,2.6,,,0,0,,21.1,10,270,270,7.2,9.8,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",5/21/2019,3,,0,0,0,,20,10.6,230,250,10.3,12.1,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",5/22/2019,1.4,,10.2,0,0,,20.6,10,250,240,6.7,9.4,1,,1,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",5/23/2019,1.1,,0,0,0,,16.1,9.4,270,270,4,4.9,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",5/24/2019,2.6,,0,0,0,,26.7,8.9,270,270,8.9,10.7,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",5/25/2019,2.9,,0,0,0,,23.9,10.6,280,270,9.8,12.5,,,,,
